| idx | angle (deg) | strain   | atoms | surf_ratio |  idx1  |  idx2  |
--------------------------------------------------------------
|   1 |    21.7830 | 0.000000 |    28 |   7/7   |  -2, -3 |  -3, -1 |
|   2 |    21.7820 | 0.007662 |   390 |  98/97  |  -7, -7 |   4,-10 |
|   3 |    21.7830 | 0.007885 |   390 |  97/98  |  -8, -5 |   5, -9 |
|   4 |    21.7820 | 0.007890 |   262 |  66/65  |  -5, -4 |   4,-10 |
|   5 |    21.7830 | 0.008156 |   366 |  92/91  |  -8, -5 |   4, -9 |
|   6 |    21.7810 | 0.008209 |   262 |  65/66  |  -5, -4 |   5, -9 |
|   7 |    21.7810 | 0.008245 |   362 |  91/90  |  -7, -7 |   6, -7 |
|   8 |    21.7850 | 0.008410 |   366 |  91/92  |  -7, -7 |   5, -8 |
|   9 |    21.7820 | 0.008487 |   396 | 100/98  |  -8, -5 |   4,-10 |
|  10 |    21.7830 | 0.008505 |   362 |  90/91  |  -8, -5 |   2,-10 |
|  11 |    21.7830 | 0.008528 |   242 |  61/60  |  -5, -4 |   4, -9 |
|  12 |    21.7810 | 0.008813 |   234 |  59/58  |  -5, -4 |   6, -7 |
|  13 |    21.7830 | 0.008821 |   338 |  85/84  |  -8, -5 |   1,-10 |
|  14 |    21.7830 | 0.008902 |   242 |  60/61  |  -5, -4 |   5, -8 |
|  15 |    21.7810 | 0.008908 |   396 |  98/100 |  -7, -7 |   5, -9 |
|  16 |    21.7860 | 0.009119 |   338 |  84/85  |  -7, -7 |   7, -5 |
|  17 |    21.7830 | 0.009214 |   234 |  58/59  |  -5, -4 |   2,-10 |
|  18 |    21.7830 | 0.009313 |   360 |  91/89  |  -7, -7 |   4, -9 |
|  19 |    21.7800 | 0.009604 |   310 |  78/77  |  -8, -5 |   6, -6 |
|  20 |    21.7810 | 0.009617 |   214 |  54/53  |  -5, -4 |   6, -6 |
|  21 |    21.7800 | 0.009727 |   306 |  77/76  |  -7, -7 |   3, -8 |
|  22 |    21.7830 | 0.009823 |   360 |  89/91  |  -8, -5 |   5, -8 |
|  23 |    21.7810 | 0.009846 |   340 |  86/84  |  -8, -5 |   6, -7 |
|  24 |    21.7850 | 0.009958 |   310 |  77/78  |  -7, -7 |   2, -9 |
|  25 |    21.7810 | 0.009981 |   206 |  52/51  |  -5, -4 |   3, -8 |
|  26 |    21.7850 | 0.010076 |   332 |  84/82  |  -7, -7 |   6, -6 |
|  27 |    21.7840 | 0.010091 |   306 |  76/77  |  -8, -5 |   4, -7 |
|  28 |    21.7830 | 0.010096 |   214 |  53/54  |  -5, -4 |   2, -9 |
|  29 |    21.7810 | 0.010138 |   386 |  98/95  |  -7, -7 |   6, -8 |
|  30 |    21.7810 | 0.010254 |   252 |  64/62  |  -5, -4 |   6, -8 |
|  31 |    21.7830 | 0.010412 |   134 |  34/33  |  -2, -3 |   6, -8 |
|  32 |    21.7840 | 0.010498 |   206 |  51/52  |  -5, -4 |   4, -7 |
|  33 |    21.7860 | 0.010539 |   282 |  71/70  |  -3, -8 |   7, -5 |
|  34 |    21.7800 | 0.010562 |   370 |  94/91  |  -8, -5 |   6, -8 |
|  35 |    21.7830 | 0.010676 |   332 |  82/84  |  -8, -5 |   2, -9 |
|  36 |    21.7870 | 0.010688 |   278 |  70/69  |  -7,  0 |   2,-10 |
|  37 |    21.7800 | 0.010703 |   312 |  79/77  |  -8, -5 |   3, -8 |
|  38 |    21.7820 | 0.010794 |   386 |  95/98  |  -8, -5 |   3,-10 |
|  39 |    21.7810 | 0.010926 |   252 |  62/64  |  -5, -4 |   3,-10 |
|  40 |    21.7830 | 0.010967 |   282 |  70/71  |  -7,  0 |   1,-10 |
|  41 |    21.7850 | 0.010975 |   304 |  77/75  |  -7, -7 |   8, -3 |
|  42 |    21.7820 | 0.011025 |   186 |  47/46  |  -5, -4 |   8, -3 |
|  43 |    21.7870 | 0.011100 |   134 |  33/34  |  -3, -1 |   3,-10 |
|  44 |    21.7820 | 0.011128 |   278 |  69/70  |  -3, -8 |   6, -7 |
|  45 |    21.7820 | 0.011276 |   370 |  91/94  |  -7, -7 |   3,-10 |
|  46 |    21.7850 | 0.011382 |   312 |  77/79  |  -7, -7 |   4, -7 |
|  47 |    21.7830 | 0.011397 |   342 |  87/84  |  -8, -5 |   3, -9 |
|  48 |    21.7830 | 0.011491 |   224 |  57/55  |  -5, -4 |   3, -9 |
|  49 |    21.7810 | 0.011659 |   186 |  46/47  |  -5, -4 |  -1,-10 |
|  50 |    21.7820 | 0.011677 |   254 |  64/63  |  -8, -5 |   8, -3 |
|  51 |    21.7800 | 0.011691 |   304 |  75/77  |  -8, -5 |  -1,-10 |
|  52 |    21.7820 | 0.011773 |   118 |  30/29  |  -2, -3 |   8, -3 |
|  53 |    21.7830 | 0.011796 |   330 |  84/81  |  -7, -7 |   3, -9 |
|  54 |    21.7830 | 0.011859 |   250 |  63/62  |  -7,  0 |   5, -9 |
|  55 |    21.7870 | 0.012051 |   276 |  70/68  |  -7,  0 |   0,-10 |
|  56 |    21.7800 | 0.012204 |   254 |  63/64  |  -7, -7 |  -1,-10 |
|  57 |    21.7850 | 0.012233 |   342 |  84/87  |  -7, -7 |   5, -7 |
|  58 |    21.7820 | 0.012342 |   224 |  55/57  |  -5, -4 |   5, -7 |
|  59 |    21.7830 | 0.012374 |   314 |  80/77  |  -8, -5 |   0,-10 |
|  60 |    21.7820 | 0.012404 |   250 |  62/63  |  -3, -8 |   4,-10 |
|  61 |    21.7800 | 0.012660 |   118 |  29/30  |  -3, -1 |  -1,-10 |
|  62 |    21.7820 | 0.012694 |   330 |  81/84  |  -8, -5 |   5, -7 |
|  63 |    21.7820 | 0.012917 |   158 |  40/39  |   4, -1 |   0,-10 |
|  64 |    21.7820 | 0.012919 |   276 |  68/70  |  -3, -8 |   7, -4 |
|  65 |    21.7870 | 0.013053 |   106 |  27/26  |  -3, -1 |   3, -8 |
|  66 |    21.7830 | 0.013067 |   196 |  50/48  |  -5, -4 |   0,-10 |
|  67 |    21.7870 | 0.013360 |   248 |  63/61  |  -7,  0 |   3, -9 |
|  68 |    21.7850 | 0.013367 |   314 |  77/80  |  -7, -7 |   7, -4 |
|  69 |    21.7820 | 0.013536 |   286 |  73/70  |  -3, -8 |   8, -3 |
|  70 |    21.7820 | 0.013582 |   150 |  38/37  |   4, -1 |   2,-10 |
|  71 |    21.7830 | 0.013795 |   158 |  39/40  |  -1, -5 |   7, -4 |
|  72 |    21.7830 | 0.014103 |   274 |  70/67  |  -7, -7 |   0,-10 |
|  73 |    21.7820 | 0.014153 |   106 |  26/27  |  -2, -3 |   4, -7 |
|  74 |    21.7810 | 0.014178 |   196 |  48/50  |  -5, -4 |   7, -4 |
|  75 |    21.7820 | 0.014435 |   248 |  61/63  |  -3, -8 |   5, -7 |
|  76 |    21.7830 | 0.014557 |   150 |  37/38  |  -1, -5 |   6, -7 |
|  77 |    21.7870 | 0.014732 |   286 |  70/73  |  -7,  0 |  -1,-10 |
|  78 |    21.7830 | 0.014890 |   198 |  50/49  |   5, -3 |   0,-10 |
|  79 |    21.7820 | 0.014937 |   258 |  66/63  |  -3, -8 |   6, -6 |
|  80 |    21.7830 | 0.015143 |   168 |  43/41  |  -1, -5 |   8, -3 |
|  81 |    21.7870 | 0.015189 |   194 |  49/48  |  -7,  0 |   4, -7 |
|  82 |    21.7830 | 0.015266 |    90 |  23/22  |  -2, -3 |   1,-10 |
|  83 |    21.7810 | 0.015406 |   274 |  67/70  |  -8, -5 |   7, -4 |
|  84 |    21.7820 | 0.015591 |   130 |  33/32  |   4, -1 |   3, -9 |
|  85 |    21.7810 | 0.015759 |   198 |  49/50  |   0, -7 |   7, -4 |
|  86 |    21.7820 | 0.016028 |    68 |  17/17  |  -2, -3 |  -1,-10 |
|  87 |    21.7820 | 0.016093 |   194 |  48/49  |  -3, -8 |   3, -8 |
|  88 |    21.7870 | 0.016408 |   258 |  63/66  |  -7,  0 |   2, -9 |
|  89 |    21.7830 | 0.016417 |   200 |  51/49  |  -3, -8 |   3, -9 |
|  90 |    21.7820 | 0.016571 |   122 |  31/30  |   4, -1 |   5, -9 |
|  91 |    21.7810 | 0.016573 |   238 |  60/59  |   6, -5 |   0,-10 |
|  92 |    21.7820 | 0.016657 |   168 |  41/43  |   4, -1 |  -1,-10 |
|  93 |    21.7830 | 0.016663 |   230 |  59/56  |  -3, -8 |   4, -9 |
|  94 |    21.7870 | 0.016791 |    90 |  22/23  |  -3, -1 |   7, -5 |
|  95 |    21.7830 | 0.016889 |   130 |  32/33  |  -1, -5 |   5, -7 |
|  96 |    21.7870 | 0.017068 |   192 |  49/47  |   0, -7 |   7, -5 |
|  97 |    21.7830 | 0.017267 |   170 |  43/42  |  -3, -8 |   2, -9 |
|  98 |    21.7830 | 0.017397 |   238 |  59/60  |   1, -9 |   7, -4 |
|  99 |    21.7820 | 0.017489 |    78 |  20/19  |  -2, -3 |   0,-10 |
| 100 |    21.7870 | 0.017530 |   218 |  56/53  |  -7,  0 |   3, -8 |
| 101 |    21.7830 | 0.017954 |   308 |  80/74  |   0,-10 |   8, -3 |
| 102 |    21.7830 | 0.018004 |   140 |  36/34  |  -1, -5 |   6, -6 |
| 103 |    21.7830 | 0.018046 |   122 |  30/31  |  -1, -5 |   4,-10 |
| 104 |    21.7820 | 0.018071 |   200 |  49/51  |  -7,  0 |   5, -7 |
| 105 |    21.7870 | 0.018445 |   170 |  42/43  |  -7,  0 |   6, -6 |
| 106 |    21.7830 | 0.018513 |   230 |  56/59  |  -7,  0 |   5, -8 |
| 107 |    21.7830 | 0.018863 |   192 |  47/49  |   5, -3 |   1,-10 |
| 108 |    21.7830 | 0.019128 |   268 |  69/65  |   1, -9 |   8, -3 |
| 109 |    21.7810 | 0.019518 |   308 |  74/80  |   7, -4 |  -1,-10 |
| 110 |    21.7870 | 0.019521 |    78 |  19/20  |  -3, -1 |   7, -4 |
| 111 |    21.7810 | 0.019591 |   218 |  53/56  |   5, -3 |  -1,-10 |
| 112 |    21.7820 | 0.019662 |   102 |  26/25  |   4, -1 |   6, -8 |
| 113 |    21.7870 | 0.019954 |   190 |  49/46  |  -7,  0 |   6, -7 |
| 114 |    21.7830 | 0.020150 |   226 |  58/55  |   1, -9 |   7, -5 |
| 115 |    21.7820 | 0.020185 |   140 |  34/36  |   4, -1 |   2, -9 |
| 116 |    21.7830 | 0.020547 |   142 |  36/35  |   5, -3 |   3, -9 |
| 117 |    21.7820 | 0.021247 |    94 |  24/23  |   4, -1 |   4, -7 |
| 118 |    21.7830 | 0.021527 |   182 |  46/45  |   1, -9 |   6, -8 |
| 119 |    21.7810 | 0.021606 |   268 |  65/69  |   6, -5 |  -1,-10 |
| 120 |    21.7830 | 0.021772 |   102 |  25/26  |  -1, -5 |   3,-10 |
| 121 |    21.7820 | 0.022196 |   112 |  29/27  |   4, -1 |   3, -8 |
| 122 |    21.7820 | 0.022236 |   142 |  35/36  |   0, -7 |   5, -7 |
| 123 |    21.7830 | 0.022668 |   190 |  46/49  |  -3, -8 |   2,-10 |
| 124 |    21.7810 | 0.022787 |   226 |  55/58  |   6, -5 |   1,-10 |
| 125 |    21.7810 | 0.022938 |   182 |  45/46  |   6, -5 |   3,-10 |
| 126 |    21.7800 | 0.023155 |   162 |  42/39  |   0, -7 |   6, -6 |
| 127 |    21.7830 | 0.023244 |   194 |  50/47  |   6, -5 |   2,-10 |
| 128 |    21.7830 | 0.023620 |   136 |  35/33  |   0, -7 |   5, -8 |
| 129 |    21.7800 | 0.023732 |    94 |  23/24  |  -1, -5 |   3, -8 |
| 130 |    21.7820 | 0.023757 |   240 |  63/57  |   3, -9 |   8, -3 |
| 131 |    21.7820 | 0.023979 |   230 |  55/60  |   2, -9 |   7, -4 |
| 132 |    21.7810 | 0.025314 |   154 |  39/38  |   6, -5 |   3, -9 |
| 133 |    21.7830 | 0.025491 |   146 |  38/35  |  -3, -8 |   1,-10 |
| 134 |    21.7840 | 0.025606 |   112 |  27/29  |  -1, -5 |   4, -7 |
| 135 |    21.7820 | 0.026483 |    50 |  13/12  |   1, -2 |   8, -3 |
| 136 |    21.7830 | 0.026610 |    74 |  19/18  |  -1, -5 |   2, -9 |
| 137 |    21.7810 | 0.026826 |   194 |  47/50  |   1, -9 |   6, -7 |
| 138 |    21.7830 | 0.026891 |   162 |  39/42  |   5, -3 |   2, -9 |
| 139 |    21.7820 | 0.026945 |   240 |  57/63  |   5, -7 |  -1,-10 |
| 140 |    21.7800 | 0.027123 |   184 |  48/44  |   1, -9 |   6, -6 |
| 141 |    21.7830 | 0.027202 |   136 |  33/35  |   5, -3 |   4, -9 |
| 142 |    21.7830 | 0.027285 |   154 |  38/39  |   1, -9 |   5, -7 |
| 143 |    21.7830 | 0.027372 |   116 |  30/28  |  -3, -8 |   0,-10 |
| 144 |    21.7820 | 0.028926 |    84 |  22/20  |   4, -1 |   6, -7 |
| 145 |    21.7820 | 0.029099 |   214 |  55/52  |   3,-10 |   7, -5 |
| 146 |    21.7830 | 0.029840 |   152 |  40/36  |   4, -9 |   0,-10 |
| 147 |    21.7870 | 0.030093 |   146 |  35/38  |  -7,  0 |   7, -5 |
| 148 |    21.7820 | 0.030623 |    74 |  18/19  |   4, -1 |   6, -6 |
| 149 |    21.7820 | 0.030894 |   278 |  71/68  |   3,-10 |   8, -3 |
| 150 |    21.7810 | 0.030952 |   118 |  31/28  |   5, -3 |   3, -8 |
| 151 |    21.7830 | 0.030968 |   142 |  37/34  |   1, -9 |   5, -8 |
| 152 |    21.7820 | 0.031438 |    50 |  12/13  |   1, -2 |  -1,-10 |
| 153 |    21.7870 | 0.032299 |   116 |  28/30  |  -7,  0 |   7, -4 |
| 154 |    21.7830 | 0.032391 |   184 |  44/48  |   6, -5 |   2, -9 |
| 155 |    21.7800 | 0.032553 |   168 |  42/42  |   2, -9 |   6, -6 |
| 156 |    21.7820 | 0.033152 |    86 |  22/21  |  -3, -8 |  -1,-10 |
| 157 |    21.7830 | 0.033580 |   282 |  74/67  |   2,-10 |   8, -3 |
| 158 |    21.7830 | 0.033743 |   214 |  52/55  |   6, -8 |   1,-10 |
| 159 |    21.7830 | 0.034079 |   106 |  28/25  |   0, -7 |   4, -9 |
| 160 |    21.7830 | 0.034286 |   194 |  50/47  |   5, -8 |   0,-10 |
| 161 |    21.7820 | 0.034336 |   172 |  46/40  |   6, -8 |   8, -3 |
| 162 |    21.7830 | 0.034673 |    82 |  21/20  |   0, -7 |   3, -9 |
| 163 |    21.7810 | 0.034865 |   278 |  68/71  |   6, -8 |  -1,-10 |
| 164 |    21.7830 | 0.035000 |    84 |  20/22  |  -1, -5 |   2,-10 |
| 165 |    21.7840 | 0.035192 |    88 |  23/21  |   5, -3 |   4, -7 |
| 166 |    21.7830 | 0.035312 |   166 |  43/40  |   5, -9 |   7, -4 |
| 167 |    21.7830 | 0.036290 |   152 |  36/40  |   5, -8 |   7, -4 |
| 168 |    21.7860 | 0.037479 |    34 |   9/8   |   1, -2 |   7, -5 |
| 169 |    21.7820 | 0.037579 |   254 |  68/59  |   4,-10 |   8, -3 |
| 170 |    21.7830 | 0.037667 |   142 |  34/37  |   6, -5 |   4, -9 |
| 171 |    21.7870 | 0.037765 |    86 |  21/22  |  -7,  0 |   8, -3 |
| 172 |    21.7840 | 0.038010 |   118 |  28/31  |   0, -7 |   4, -7 |
| 173 |    21.7800 | 0.038021 |   134 |  36/31  |   3, -9 |   6, -6 |
| 174 |    21.7810 | 0.038642 |   124 |  33/29  |   6, -5 |   3, -8 |
| 175 |    21.7810 | 0.038916 |   110 |  29/26  |   6, -5 |   5, -9 |
| 176 |    21.7830 | 0.039462 |   182 |  48/43  |   3, -9 |   7, -5 |
